Cite Key,Title,Authors,Year,Publication Date,Journal,Citation Count,Citations/Year,DOI,URL
Pon18,Internet Use by Children Aged six to nine: Parents’ Beliefs and Knowledge about Risk Prevention,Gemma Pons-Salvador; Xud Zubieta-Méndez; Dolores Frías-Navarro,2018,2018-01-23,Child Indicators Research,15,1.8,10.1007/S12187-018-9529-4,https://doi.org/10.1007/S12187-018-9529-4
Por16,Mobile Phones and Education in Sub‐Saharan Africa: From Youth Practice to Public Policy,G. Porter; K. Hampshire; J. Milner; A. Munthali; E. Robson; A. Lannoy; Andisiwe Bango; Nwabisa Gunguluza; M. Mashiri; Augustine Tanle; A. Abane,2016,,Journal of International Development,126,12.6,10.1002/JID.3116,https://doi.org/10.1002/JID.3116
Pri20b,Commentary: An updated agenda for the study of digital media use and adolescent development - future directions following Odgers & Jensen (2020).,M. Prinstein; J. Nesi; E. Telzer,2020,2020-02-16,"Journal of child psychology and psychiatry, and allied disciplines",73,11.3,10.1111/jcpp.13219,https://doi.org/10.1111/jcpp.13219
Prz17,A Large-Scale Test of the Goldilocks Hypothesis,Andrew K. Przybylski; N. Weinstein,2017,2017-01-13,Psychological Science,766,80.3,10.1177/0956797616678438,https://doi.org/10.1177/0956797616678438
Prz20,How Much Is Too Much? Examining the Relationship Between Digital Screen Engagement and Psychosocial Functioning in a Confirmatory Cohort Study.,Andrew K. Przybylski; Amy C. Orben; N. Weinstein,2020,2020-09-01,Journal of the American Academy of Child and Adolescent Psychiatry,111,18.8,10.1016/j.jaac.2019.06.017,https://doi.org/10.1016/j.jaac.2019.06.017
Prz21,Does Taking a Short Break from Social Media Have a Positive Effect on Well-being? Evidence from Three Preregistered Field Experiments,Andrew K. Przybylski; T. Nguyen; W. Law; N. Weinstein,2021,2021-02-07,Journal of Technology in Behavioral Science,56,10.2,10.1007/s41347-020-00189-w,https://doi.org/10.1007/s41347-020-00189-w
Rat21,Smartphone Addiction and Sleep Quality on Academic Performance of University Students: An Exploratory Research,B. Rathakrishnan; Soon Singh Bikar Singh; M. Kamaluddin; A. Yahaya; Mohd Azrin Mohd Nasir; F. Ibrahim; Z. Ab Rahman,2021,2021-08-01,International Journal of Environmental Research and Public Health,156,31.3,10.3390/ijerph18168291,https://doi.org/10.3390/ijerph18168291
Ree24,Postdigital Young People’s Rights: A Critical Perspective on the UK Government’s Guidance to Ban Phones in England’s Schools,J. Reed; Catherine Dunn,2024,2024-03-05,Postdigital Science and Education,12,5.0,10.1007/s42438-024-00464-6,https://doi.org/10.1007/s42438-024-00464-6
Rib26,"Educação, celulares e legislação: análise da Lei nº 15.100/2025 sobre o uso de celulares nas escolas",Anderson Filipini Ribeiro; Mônica de Cássia dos Santos Lopes; Diogo Rais Rodrigues Moreira,2026,2026-01-14,Revista Internacional Consinter de Direito,0,0.0,10.19135/revista.consinter.00021.20,https://doi.org/10.19135/revista.consinter.00021.20
Rid18,"Digital Health Practices, Social Media Use, and Mental Well-Being Among Teens and Young Adults in the U.S.",V. Rideout; S. Fox,2018,,,198,24.8,,https://www.semanticscholar.org/paper/3c1a46299ab2f7e902d881e1b5ba557c409968ca
Rob22b,"""Intermission!"" A short-term social media fast reduces self-objectification among pre-teen and teen dancers.",Tom Roberts; E. Daniels; J. Weaver; Leslie Scott Zanovich,2022,2022-09-21,Body image,25,6.5,10.1016/j.bodyim.2022.08.015,https://doi.org/10.1016/j.bodyim.2022.08.015
Ros13,"Sedentary Behaviors in Fifth-Grade Boys and Girls: Where, with Whom, and Why?",S. T. Taverno Ross; Wonwoo Byun; M. Dowda; K. McIver; R. Saunders; R. Pate,2013,2013-12-01,Childhood Obesity,36,2.8,10.1089/chi.2013.0021,https://doi.org/10.1089/chi.2013.0021
Rud24,"Smartphone use, gender, and adolescent mental health: Longitudinal evidence from South Korea",Robert Rudolf; Najung Kim,2024,2024-10-22,SSM - Population Health,23,13.0,10.1016/j.ssmph.2024.101722,https://doi.org/10.1016/j.ssmph.2024.101722
San21,Investigating the digital media engagements of very young children at home: Reflecting on methodology and ethics,H. Sandberg; J. Gillen,2021,2021-09-01,Communications,4,0.8,10.1515/commun-2021-0046,https://doi.org/10.1515/commun-2021-0046
San21b,Toddlers’ digital media practices and everyday parental struggles: Interactions and meaning-making as digital media are domesticated,H. Sandberg; Ulrika Sjöberg; Ebba Sundin,2021,2021-09-01,Nordicom Review,14,2.9,10.2478/nor-2021-0041,https://doi.org/10.2478/nor-2021-0041
San24,Parental Voices on Screen Time Guidelines in Early Childhood,Helena Sandberg; Ulrika Sjöberg; Ebba Sundin,2024,2024-11-13,Barn – forskning om barn og barndom i Norden,2,1.2,10.23865/barn.v41.6442,https://doi.org/10.23865/barn.v41.6442
Sch22,The Effect of a 1-Week Abstinence From Instagram on Mental Health in Youth and Young Adults,D. Schwarz; Kira Steinau; Laura Kraus; T. In-Albon,2022,2022-10-01,Kindheit und Entwicklung,10,2.6,10.1026/0942-5403/a000392,https://doi.org/10.1026/0942-5403/a000392
Sch24b,Screen Media Use and Mental Health of Children and Adolescents,Jesper Schmidt-Persson; M. G. Rasmussen; S. O. Sørensen; S. R. Mortensen; L. G. Olesen; Søren Brage; P. Kristensen; Niels Bilenberg; A. Grøntved,2024,2024-07-01,JAMA Network Open,55,26.5,10.1001/jamanetworkopen.2024.19881,https://doi.org/10.1001/jamanetworkopen.2024.19881
Sel20,"Banning mobile phones from classrooms - An opportunity to advance understandings of technology addiction, distraction and cyberbullying",N. Selwyn; J. Aagaard,2020,2020-04-19,Br. J. Educ. Technol.,98,15.6,10.1111/bjet.12943,https://doi.org/10.1111/bjet.12943
Sew22,"Does Objectively Measured Social-Media or Smartphone Use Predict Depression, Anxiety, or Social Isolation Among Young Adults?",C. Sewall; T. Goldstein; A. Wright; D. Rosen,2022,2022-03-25,Clinical psychological science : a journal of the Association for Psychological Science,53,12.2,10.1177/21677026221078309,https://doi.org/10.1177/21677026221078309
Sha06,"Association Between Television, Movie, and Video Game Exposure and School Performance",I. Sharif; J. Sargent,2006,2006-10-01,Pediatrics,282,14.2,10.1542/peds.2005-2854,https://doi.org/10.1542/peds.2005-2854
Sil26b,Escolas e restrições a dispositivos eletrônicos: Lei 15.100/2025,Iracélia Dos Santos Silva; Juliana Oliveira de Santana Novais,2026,2026-01-10,Diversitas Journal,0,0.0,10.48017/dj.v11i1.3542,https://doi.org/10.48017/dj.v11i1.3542
Soh19,"Prevalence of problematic smartphone usage and associated mental health outcomes amongst children and young people: a systematic review, meta-analysis and GRADE of the evidence",Sei Yon Sohn; P. Rees; Bethany Wildridge; N. Kalk; B. Carter,2019,2019-11-29,BMC Psychiatry,707,106.1,10.1186/s12888-019-2350-x,https://doi.org/10.1186/s12888-019-2350-x
Sti19,Effects of screentime on the health and well-being of children and adolescents: a systematic review of reviews,Neza Stiglic; R. Viner,2019,2019-01-01,BMJ Open,999,132.0,10.1136/bmjopen-2018-023191,https://doi.org/10.1136/bmjopen-2018-023191
Sun25b,Digital literacies among infants and toddlers: Everyday engagement of digital media in the home environment,Ebba Sundin; Helena Sandberg; Ulrika Sjöberg,2025,2025-09-01,Journal of Early Childhood Literacy,1,1.1,10.1177/14687984251350491,https://doi.org/10.1177/14687984251350491
Tan21,The relationship between screen time and mental health in young people: A systematic review of longitudinal studies.,Samantha Tang; A. Werner-Seidler; Michelle H Torok; A. Mackinnon; H. Christensen,2021,2021-03-20,Clinical psychology review,224,41.8,10.1016/j.cpr.2021.102021,https://doi.org/10.1016/j.cpr.2021.102021
Ten21,Depression and anxiety symptoms associated with internet gaming disorder before and during the COVID-19 pandemic: A longitudinal study,Zhaojun Teng; H. Pontes; Qian Nie; M. Griffiths; Cheng Guo,2021,2021-03-01,Journal of Behavioral Addictions,264,48.8,10.1556/2006.2021.00016,https://doi.org/10.1556/2006.2021.00016
Tha21,The Effects of Reducing Social Media Use on Body Esteem Among Transitional-Aged Youth,Helen Thai; Christopher G. Davis; Niall A. Stewart; K. Gunnell; G. Goldfield,2021,2021-12-01,Journal of Social and Clinical Psychology,17,3.7,10.1521/jscp.2021.40.6.481,https://doi.org/10.1521/jscp.2021.40.6.481
Tho11,"Mobile phone use and stress, sleep disturbances, and symptoms of depression among young adults - a prospective cohort study",Sara Thomée; A. Härenstam; M. Hagberg,2011,2011-01-31,BMC Public Health,1253,80.9,10.1186/1471-2458-11-66,https://doi.org/10.1186/1471-2458-11-66
Twe18c,Associations between screen time and lower psychological well-being among children and adolescents: Evidence from a population-based study,J. Twenge; W. K. Campbell,2018,2018-10-18,Preventive Medicine Reports,1026,132.0,10.1016/j.pmedr.2018.10.003,https://doi.org/10.1016/j.pmedr.2018.10.003
Twe19c,Less in-person social interaction with peers among U.S. adolescents in the 21st century and links to loneliness,J. Twenge; Brian H. Spitzberg; W. K. Campbell,2019,2019-03-19,Journal of Social and Personal Relationships,460,62.5,10.1177/0265407519836170,https://doi.org/10.1177/0265407519836170
Twe20b,"Increases in Depression, Self‐Harm, and Suicide Among U.S. Adolescents After 2012 and Links to Technology Use: Possible Mechanisms",J. Twenge,2020,2020-03-27,Psychiatric Research and Clinical Practice,233,36.8,10.1176/appi.prcp.20190015,https://doi.org/10.1176/appi.prcp.20190015
Twe22,"Specification curve analysis shows that social media use is linked to poor mental health, especially among girls.",J. Twenge; J. Haidt; J. Lozano; Kevin M. Cummins,2022,2022-01-28,Acta psychologica,139,30.9,10.1016/j.actpsy.2022.103512,https://doi.org/10.1016/j.actpsy.2022.103512
Unk21,条例によるゲーム・ネット規制 ――香川県ゲーム条例を題材として――,義則 大島,2021,,,0,0.0,10.32235/ALIS.9.0_5,https://doi.org/10.32235/ALIS.9.0_5
Ust16,Problematic computer game use as expression of Internet addiction and its association with self-rated health in the Lithuanian adolescent population.,Rūta Ustinavičienė; Lina Škėmienė; D. Lukšienė; R. Radišauskas; Gintarė Kalinienė; P. Vasilavičius,2016,,Medicina,47,4.7,10.1016/j.medici.2016.04.002,https://doi.org/10.1016/j.medici.2016.04.002
Val21d,Social Media Use and Adolescents’ Self-Esteem: Heading for a Person-Specific Media Effects Paradigm,Patti M. Valkenburg; Ine Beyens; J. Pouwels; Irene I. van Driel; L. Keijsers,2021,2021-02-01,Journal of Communication,215,39.2,10.1093/JOC/JQAA039,https://doi.org/10.1093/JOC/JQAA039
Vin19,"Roles of cyberbullying, sleep, and physical activity in mediating the effects of social media use on mental health and wellbeing among young people in England: a secondary analysis of longitudinal data.",R. Viner; Aswathikutty Aswathikutty-Gireesh; Neza Stiglic; L. Hudson; Anne-Lise Goddings; J. Ward; D. Nicholls,2019,2019-10-01,The Lancet. Child & adolescent health,234,34.3,10.1016/S2352-4642(19)30186-5,https://doi.org/10.1016/S2352-4642(19)30186-5
Vuo21,There is no evidence that associations between adolescents’ digital technology engagement and mental health problems have increased,Matti Vuorre; Amy C. Orben; Andrew K. Przybylski,2021,2021-05-03,Clinical psychological science : a journal of the Association for Psychological Science,120,22.9,10.1177/2167702621994549,https://doi.org/10.1177/2167702621994549
Wal24,Does putting down your smartphone make you happier? the effects of restricting digital media on well-being,Lisa C. Walsh; A. Regan; Karynna Okabe‐Miyamoto; Sonja Lyubomirsky,2024,2024-10-14,PLOS ONE,8,4.5,10.1371/journal.pone.0306910,https://doi.org/10.1371/journal.pone.0306910
Wil08,"A short-term longitudinal study of Internet and computer game use by adolescent boys and girls: prevalence, frequency of use, and psychosocial predictors.",Teena Willoughby,2008,,Developmental psychology,301,16.7,10.1037/0012-1649.44.1.195,https://doi.org/10.1037/0012-1649.44.1.195
Woo21,"Mental Health, Smartphone Use Type, and Screen Time Among Adolescents in South Korea",Kyung Soo Woo; S. Bong; T. Choi; Jun Won Kim,2021,,,47,9.4,,https://www.semanticscholar.org/paper/d703ba2b47913ad659dbbab5f3a864e313d4865d
Wu21,The relationship between social short-form videos and youth’s well-being: It depends on usage types and content categories.,Yiling Wu; Xiaonan Wang; Skylar Hong; Mina Hong; Meng Pei; Yanjie Su,2021,2021-01-04,,58,10.4,10.1037/ppm0000292,https://doi.org/10.1037/ppm0000292
Xia21b,Reserve your judgment on “Draconian” Chinese video gaming restrictions on children •,Leon Y. Xiao,2021,2021-12-02,Journal of Behavioral Addictions,19,4.1,10.1556/2006.2022.00022,https://doi.org/10.1556/2006.2022.00022
Yan23,"Effect of online game policy on smartphone game play time, addiction, and emotion in rural adolescents of China",Qiongyao Yang; Han-Yang Wang; Hongye Wu; Wei Li; Yueyue Zhang; Yitan Yao; Xiaoping Yuan; Chuanchuan Chen; Yue Wang; Yongjie Zhong; Wenhui Wang; Miaomiao Zhang; Yating Yang; Huanzhong Liu; Kai Zhang,2023,2023-11-08,BMC Psychiatry,30,11.0,10.1186/s12888-023-05325-3,https://doi.org/10.1186/s12888-023-05325-3
You19,Encoding/Decoding,B. Yousman,2019,2019-11-19,The Blackwell Encyclopedia of Sociology,1691,252.8,10.1002/9781405165518.wbeose045.pub2,https://doi.org/10.1002/9781405165518.wbeose045.pub2
Yu20,"Impulsivity, Self-control, Interpersonal Influences, and Maladaptive Cognitions as Factors of Internet Gaming Disorder Among Adolescents in China: Cross-sectional Mediation Study",Yanqiu Yu; P. Mo; Jianxin Zhang; Jibin Li; J. Lau,2020,2020-12-28,Journal of Medical Internet Research,59,10.6,10.2196/26810,https://doi.org/10.2196/26810
Yu20b,Why is Internet gaming disorder more prevalent among Chinese male than female adolescents? The role of cognitive mediators.,Yanqiu Yu; P. Mo; Jianxin Zhang; Jibin Li; J. Lau,2020,2020-08-31,Addictive behaviors,57,9.7,10.1016/j.addbeh.2020.106637,https://doi.org/10.1016/j.addbeh.2020.106637
Yu22,"Maladaptive cognitions, loneliness, and social anxiety as potential moderators of the association between Internet gaming time and Internet gaming disorder among adolescent Internet gamers in China.",Yanqiu Yu; P. Mo; Jianxin Zhang; Jibin Li; J. Lau,2022,2022-01-01,Addictive behaviors,47,10.3,10.1016/j.addbeh.2022.107239,https://doi.org/10.1016/j.addbeh.2022.107239
Zen23,No evidence that Chinese playtime mandates reduced heavy gaming in one segment of the video games industry,D. Zendle; Catherine Flick; Elena Gordon-Petrovskaya; Nick Ballou; Leon Y. Xiao; Anders Drachen,2023,2023-08-10,Nature Human Behaviour,24,8.1,10.1038/s41562-023-01669-8,https://doi.org/10.1038/s41562-023-01669-8
Zho24,Compliance and alternative behaviors of heavy gamers in adolescents to Chinese online gaming restriction policy,Xinyu Zhou; Min Liao; Monika Gorowska; Xijing Chen; Yonghui Li,2024,2024-04-26,Journal of Behavioral Addictions,12,5.3,10.1556/2006.2024.00021,https://doi.org/10.1556/2006.2024.00021
Zhu15,"Early adolescent Internet game addiction in context: How parents, school, and peers impact youth",Jianjun Zhu; Wei Zhang; Chengfu Yu; Zhenzhou Bao,2015,2015-09-01,Comput. Hum. Behav.,197,18.1,10.1016/j.chb.2015.03.079,https://doi.org/10.1016/j.chb.2015.03.079
